!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+5.00000000000e+004, +1.27921414392e+003, -8.87571191121e+001
+5.00650250000e+004, +1.27763299996e+003, -8.87618906651e+001
+5.01301340000e+004, +1.27597657355e+003, -8.87710836920e+001
+5.01953280000e+004, +1.27412923572e+003, -8.87730096643e+001
+5.02606070000e+004, +1.27236761422e+003, -8.87731828333e+001
+5.03259710000e+004, +1.27061033431e+003, -8.87701985494e+001
+5.03914190000e+004, +1.26886069958e+003, -8.87635472113e+001
+5.04569530000e+004, +1.26730949295e+003, -8.87552114678e+001
+5.05225720000e+004, +1.26587712046e+003, -8.87541621611e+001
+5.05882770000e+004, +1.26437124268e+003, -8.87657274664e+001
+5.06540670000e+004, +1.26256444609e+003, -8.87741318947e+001
+5.07199420000e+004, +1.26082747170e+003, -8.87751426842e+001
+5.07859030000e+004, +1.25911612554e+003, -8.87757197615e+001
+5.08519500000e+004, +1.25738101540e+003, -8.87745714014e+001
+5.09180830000e+004, +1.25568918543e+003, -8.87747700130e+001
+5.09843010000e+004, +1.25394654802e+003, -8.87742462159e+001
+5.10506060000e+004, +1.25226596191e+003, -8.87737587742e+001
+5.11169970000e+004, +1.25058373141e+003, -8.87719392860e+001
+5.11834750000e+004, +1.24889922433e+003, -8.87711525301e+001
+5.12500390000e+004, +1.24727995219e+003, -8.87688452521e+001
+5.13166890000e+004, +1.24565727264e+003, -8.87661745437e+001
+5.13834260000e+004, +1.24399903517e+003, -8.87687032875e+001
+5.14502500000e+004, +1.24231290944e+003, -8.87691161406e+001
+5.15171610000e+004, +1.24067707529e+003, -8.87686891910e+001
+5.15841590000e+004, +1.23900039417e+003, -8.87681721908e+001
+5.16512440000e+004, +1.23731603456e+003, -8.87687813740e+001
+5.17184160000e+004, +1.23567092807e+003, -8.87663934711e+001
+5.17856760000e+004, +1.23395150941e+003, -8.87630444519e+001
+5.18530230000e+004, +1.23230791823e+003, -8.87600762868e+001
+5.19204570000e+004, +1.23073459956e+003, -8.87523081633e+001
+5.19879800000e+004, +1.22929195935e+003, -8.87516960308e+001
+5.20555900000e+004, +1.22773667616e+003, -8.87568260229e+001
+5.21232880000e+004, +1.22607381168e+003, -8.87606684108e+001
+5.21910740000e+004, +1.22438236107e+003, -8.87601906121e+001
+5.22589480000e+004, +1.22274618103e+003, -8.87615896127e+001
+5.23269110000e+004, +1.22112985040e+003, -8.87607417443e+001
+5.23949620000e+004, +1.21950464679e+003, -8.87606525434e+001
+5.24631010000e+004, +1.21782528927e+003, -8.87602891818e+001
+5.25313290000e+004, +1.21620805296e+003, -8.87606744719e+001
+5.25996460000e+004, +1.21461512804e+003, -8.87589456055e+001
+5.26680520000e+004, +1.21294661325e+003, -8.87580661848e+001
+5.27365460000e+004, +1.21136598932e+003, -8.87564959053e+001
+5.28051300000e+004, +1.20973801214e+003, -8.87577649014e+001
+5.28738030000e+004, +1.20805665922e+003, -8.87570594904e+001
