!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:02 2025

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+5.00000000000e+004, +2.78124120107e+001, -1.27884954774e+003
+5.00650250000e+004, +2.76405998839e+001, -1.27725237373e+003
+5.01301340000e+004, +2.74427896021e+001, -1.27553436811e+003
+5.01953280000e+004, +2.73588512476e+001, -1.27374460447e+003
+5.02606070000e+004, +2.73225284025e+001, -1.27193359160e+003
+5.03259710000e+004, +2.73423506424e+001, -1.27017745589e+003
+5.03914190000e+004, +2.74452933158e+001, -1.26844525173e+003
+5.04569530000e+004, +2.75490468796e+001, -1.26689224309e+003
+5.05225720000e+004, +2.75779079120e+001, -1.26545101691e+003
+5.05882770000e+004, +2.72837199228e+001, -1.26393074552e+003
+5.06540670000e+004, +2.70632750997e+001, -1.26217823459e+003
+5.07199420000e+004, +2.69809898083e+001, -1.26039255287e+003
+5.07859030000e+004, +2.69522299868e+001, -1.25869384255e+003
+5.08519500000e+004, +2.69152299539e+001, -1.25695294092e+003
+5.09180830000e+004, +2.69210081199e+001, -1.25528265790e+003
+5.09843010000e+004, +2.68682084250e+001, -1.25355115300e+003
+5.10506060000e+004, +2.68754988430e+001, -1.25187804672e+003
+5.11169970000e+004, +2.68724055048e+001, -1.25017740043e+003
+5.11834750000e+004, +2.68345479362e+001, -1.24846790191e+003
+5.12500390000e+004, +2.68595490832e+001, -1.24682794722e+003
+5.13166890000e+004, +2.68723906905e+001, -1.24522329312e+003
+5.13834260000e+004, +2.67474396305e+001, -1.24360803773e+003
+5.14502500000e+004, +2.67619863140e+001, -1.24192972360e+003
+5.15171610000e+004, +2.67284293001e+001, -1.24021620916e+003
+5.15841590000e+004, +2.66779301227e+001, -1.23857962702e+003
+5.16512440000e+004, +2.66476862265e+001, -1.23688504449e+003
+5.17184160000e+004, +2.66531341139e+001, -1.23519308344e+003
+5.17856760000e+004, +2.66882090588e+001, -1.23356946437e+003
+5.18530230000e+004, +2.67484537368e+001, -1.23189850025e+003
+5.19204570000e+004, +2.68266688178e+001, -1.23034171562e+003
+5.19879800000e+004, +2.68502659697e+001, -1.22882745437e+003
+5.20555900000e+004, +2.67018258616e+001, -1.22730868936e+003
+5.21232880000e+004, +2.65509690888e+001, -1.22562963564e+003
+5.21910740000e+004, +2.65345676883e+001, -1.22395194747e+003
+5.22589480000e+004, +2.64983846798e+001, -1.22232161812e+003
+5.23269110000e+004, +2.64828655113e+001, -1.22068287131e+003
+5.23949620000e+004, +2.64287574718e+001, -1.21902782554e+003
+5.24631010000e+004, +2.64211238994e+001, -1.21736204789e+003
+5.25313290000e+004, +2.63883959349e+001, -1.21572641086e+003
+5.25996460000e+004, +2.63844227122e+001, -1.21411094427e+003
+5.26680520000e+004, +2.63668047065e+001, -1.21247467393e+003
+5.27365460000e+004, +2.63456381654e+001, -1.21089166043e+003
+5.28051300000e+004, +2.62927564743e+001, -1.20927909237e+003
+5.28738030000e+004, +2.62774610645e+001, -1.20761203376e+003
